,Unnamed: 0,unique_id,feature_1,feature_2,feature_3,presence,grid
0,0,10000000,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
1,1,10000001,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
2,2,10000002,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
3,3,10000003,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
4,4,10000004,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
5,5,10000005,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
6,6,10000006,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
7,7,10000007,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
8,8,10000008,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
9,9,10000009,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
10,10,10000010,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
11,11,10000011,11,1,11,1,0000000000000000000000000000000011110110111110000000000000000000
12,12,10000012,10,1,10,1,0000000000000000000000000101010011111100001000000000000000000000
13,13,10000013,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
14,14,10000014,1,1,1,0,0000010000000000000000000000000000000000000000000000000000000000
15,15,10000015,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
16,16,10000016,4,2,3,0,0000000000000000000000000000000000000000000000000001000001011000
17,17,10000017,7,1,7,1,0000000000000000000000000000000011101100010100000000000000000000
18,18,10000018,4,2,2,1,0000000000000000000000000000000001101100000000000000000000000000
19,19,10000019,3,2,2,1,0000000000000000000000000100000001000100000000000000000000000000
20,20,10000020,8,1,8,1,0000000000000000000000000000000001001000111111000000000000000000
21,21,10000021,8,1,8,1,0000000000000000000000000000000000000000011111001001100000000000
22,22,10000022,7,1,7,1,0000000000000000000000000000000000000000011111000001100000000000
23,23,10000023,5,2,3,1,0000000000000000000000000000000011011000000010000000000000000000
24,24,10000024,12,1,12,1,0000000000000000000000001110100011111100000110000000000000000000
25,25,10000025,10,1,10,1,0000000000000000000000000000000011111100001010000101000000000000
26,26,10000026,9,1,9,1,0000000000000000000000000000000001010000111111000001000000000000
27,27,10000027,6,1,6,1,0000000000000000000000000000000001111100000010000000000000000000
28,28,10000028,6,2,3,1,0000000000000000100000000110110000001000000000000000000000000000
29,29,10000029,4,3,2,1,0000000000000000010010000100000000000000000001000000000000000000
30,30,10000030,9,2,5,1,0000000000011000110001101110000000000000000000000000000000000000
31,31,10000031,9,2,5,1,0000000000001000110011101101000000000000000000000000000000000000
32,32,10000032,9,2,6,1,1000111011011100000000000000000000000000000000000000000000000000
33,33,10000033,11,3,6,1,1101111011011000000000001000000000000000000000000000000000000000
34,34,10000034,16,2,9,1,0000000000001000000010001110110011101110100011000000000000000000
35,35,10000035,15,1,15,1,0000000000000000000010000101110011011110001011000000100000000000
36,36,10000036,9,2,6,1,0000000000000000000000000000000000001000010111001100100000001000
37,37,10000037,10,1,10,1,0000000000000000000000000000000000001000111111100010100000000000
38,38,10000038,11,3,6,1,0000000000000000000010000100101011101000000011000001000000000000
39,39,10000039,5,3,2,1,0000000000000000000000001100101000001000000000000000000000000000
40,40,10000040,8,3,4,1,0000000000000000000000001000000011011010000010000000100000000000
41,41,10000041,8,2,4,1,0000000000000000000000001000000011101110000001000000000000000000
42,42,10000042,12,1,12,1,0000000000000000000000000000000001101000111111000001110000000000
43,43,10000043,12,1,12,1,0000000000000000000000000000000000000000110110101111110001000000
44,44,10000044,13,2,8,1,0000000000000000000000000000000000000000110111101101111001000000
45,45,10000045,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
46,46,10000046,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
47,47,10000047,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
48,48,10000048,11,1,11,1,0000000000000000000000000000000000000000110111001111100000001000
49,49,10000049,2,2,1,1,0000000000000000000000000000000000000000000000000100100000000000
50,50,10000050,3,2,2,1,0000000000000000000000000000000000000000001011000000000000000000
